station_pk,name,x,y,altitude,priority,private,has_measurement,has_warnregion,country,active
10124,LT Alte Weser,8322.0012,4941.0,32,3,1,1,0,Germany,1
10125,Wilhelmshaven,8299.008,5128.38,5,6,0,0,1,Germany,1
10126,Wittmundhafen,8160.17904,5102.79642,8,3,0,1,1,Germany,1
10129,Bremerhaven,8487.38988,5112.0936,7,3,0,1,1,Germany,1
10130,Elpersbüttel,8643.80124,4822.66764,3,3,0,1,1,Germany,1
10131,Cuxhaven,8534.09556,4929.52284,5,2,1,1,1,Germany,1
10136,Nordholz,8516.99844,4987.0782,23,3,0,1,1,Germany,1
10139,Bremervörde,8690.05404,5159.63844,3,3,0,1,1,Germany,1
10142,Itzehoe,8845.07004,4865.53716,25,3,0,1,1,Germany,1
10143,Neumünster,8975.99988,4815.00072,20,6,0,0,1,Germany,1
10146,Quickborn,8955.93096,5004.12978,13,3,0,1,1,Germany,1
10147,Hamburg-Flugh.,8995.7106,5058.07956,16,1,1,1,1,Germany,1
10150,Dörnick,9126.67608,4770.66078,26,3,0,1,1,Germany,1
10152,Pelzerhaken,9315.8406,4811.7672,1,3,0,1,1,Germany,1
10156,Lübeck,9251.57016,4966.65108,14,2,0,1,1,Germany,1
10161,Boltenhagen,9428.67792,4858.48368,15,3,0,1,1,Germany,1
10162,Schwerin,9499.39308,5053.0392,59,2,1,1,1,Germany,1
10168,Goldberg,9757.19052,5072.75244,58,3,0,1,1,Germany,1
10170,Warnemünde,9748.99044,4762.6947,4,1,1,1,1,Germany,1
10172,Laage,9820.43532,4905.57816,42,3,0,1,1,Germany,1
10180,Barth,9975.89808,4676.08464,7,3,0,1,1,Germany,1
10181,Parow,10109.99988,4662.0009,4,6,0,0,1,Germany,1
10184,Greifswald,10226.00736,4807.76202,2,2,1,1,1,Germany,1
10193,Ückermünde,10465.09164,4998.0078,1,3,0,1,1,Germany,1
10200,Emden-Flugh.,8002.33308,5190.4368,0,3,1,1,1,Germany,1
10203,Emden,7992,5211.0,5,6,0,0,1,Germany,1
10210,Friesoythe-A.,8244.7938,5365.278,6,3,0,1,1,Germany,1
10215,Oldenburg,8340.00012,5300.99964,11,6,0,0,1,Germany,1
10218,Ahlhorn-Süd,8364.00024,5462.9991,49,6,0,0,1,Germany,1
10224,Bremen,8567.46252,5375.9646,3,2,1,1,1,Germany,1
10235,Soltau,8925.5016,5421.384,77,3,0,1,1,Germany,1
10238,Bergen-Hohne,8972.93124,5499.7758,70,4,0,1,1,Germany,1
10246,Fassberg,9067.8762,5445.54738,75,3,0,1,1,Germany,1
10249,Boizenburg,9247.59396,5188.81518,45,3,0,1,1,Germany,1
10253,Lüchow,9409.45968,5414.91804,17,2,1,1,1,Germany,1
10261,Seehausen,9622.69092,5458.78656,21,3,0,1,1,Germany,1
10264,Marnitz,9695.50164,5225.9634,81,3,1,1,1,Germany,1
10267,Kyritz,9867.36312,5434.39044,40,3,0,1,1,Germany,1
10268,Waren,9959.54544,5119.40358,70,2,1,1,1,Germany,1
10270,Neuruppin,10010.5938,5451.99876,38,3,1,1,1,Germany,1
10273,Basepohl,10055.99988,5003.99964,53,6,0,0,1,Germany,1
10277,Neuglobsow,10092.00024,5319.0,62,6,0,0,1,Germany,1
10280,Neubrandenburg,10152,5103.0,81,6,0,0,1,Germany,1
10281,Trollenhagen,10189.404,5076.162,71,3,0,1,1,Germany,1
10282,Feldberg/Meckl.,10230.28776,5228.5284,115,3,0,1,1,Germany,1
10289,Grünow,10416.15144,5229.7299,55,3,0,1,1,Germany,1
10291,Angermünde,10436.6376,5382.936,56,3,1,1,1,Germany,1
